date,room,avg_temperature,avg_luminosity,peak_occupancy
2025-09-15,Sala_Reuniao,22.01,414.04,9
2025-09-16,Sala_Reuniao,22.01,419.65,4
2025-09-17,Sala_Reuniao,22.0,414.85,7
2025-09-18,Sala_Reuniao,21.99,420.79,7
2025-09-19,Sala_Reuniao,21.97,412.12,10
2025-09-20,Sala_Reuniao,22.02,421.92,1
2025-09-21,Sala_Reuniao,21.99,415.42,0
2025-09-15,Escritorio_A,22.52,420.75,27
2025-09-16,Escritorio_A,22.49,415.84,34
2025-09-17,Escritorio_A,22.49,417.21,24
2025-09-18,Escritorio_A,22.46,416.57,22
2025-09-19,Escritorio_A,22.52,418.97,31
2025-09-20,Escritorio_A,22.45,417.06,3
2025-09-21,Escritorio_A,22.48,420.94,2
2025-09-15,Escritorio_B,22.01,419.89,27
2025-09-16,Escritorio_B,22.01,415.45,36
2025-09-17,Escritorio_B,21.99,419.98,29
2025-09-18,Escritorio_B,22.04,415.77,30
2025-09-19,Escritorio_B,22.0,420.94,36
2025-09-20,Escritorio_B,22.01,417.62,6
2025-09-21,Escritorio_B,22.02,416.21,4
2025-09-15,Copa,21.54,416.44,8
2025-09-16,Copa,21.55,421.47,8
2025-09-17,Copa,21.49,420.05,10
2025-09-18,Copa,21.46,416.29,12
2025-09-19,Copa,21.51,420.59,11
2025-09-20,Copa,21.49,416.45,0
2025-09-21,Copa,21.51,418.47,0
